date,stockChange,dollarChange,us10Change,gdpChange
1991-12-26,1.3798134824269954,-0.7053844345168216,-0.0044,0.015733318
1991-12-27,0.4001568560434472,0.5919962112242482,-0.0035,0.015733318
1991-12-30,2.1355174413710016,-0.1294726930320144,-0.0126,0.015733318
1991-12-31,0.4697164642150865,-0.1885680612846159,-0.005,0.015733318
1992-01-02,0.04076194625392967,0.31880977683315154,0.0116,0.016919578
1992-01-03,0.4984867828575191,0.7886064030131846,0.0089,0.016919578
1992-01-06,-0.3290897632383205,-1.634941025341576,-0.0051,0.016919578
1992-01-07,-0.13398339842533155,-0.14246705449365374,-0.0075,0.016919578
1992-01-08,0.16770771683336805,-0.23778385447628445,0.0003,0.016919578
1992-01-09,-0.1172018639004786,2.8721248957216026,-0.0022,0.016919578
1992-01-10,-0.6010342401176033,1.390176088971273,0.0157,0.016919578
1992-01-13,-0.1830908188423448,-0.2970749542961505,0.0101,0.016919578
1992-01-14,1.4722223437005466,0.8022003208801153,0.0156,0.016919578
1992-01-15,0.07848610941639586,1.6143701682583014,0.0031,0.016919578
1992-01-16,-0.608407934720827,-0.4363392257775796,0.0112,0.016919578
1992-01-17,0.15542287702064786,-1.775480391055173,-0.0069,0.016919578
1992-01-20,-0.5968581601319591,-0.11440338634022915,-0.0016,0.016919578
1992-01-21,-0.8934504116671993,-0.2061619516664836,-0.0065,0.016919578
1992-01-22,1.3304550698991169,0.17215654768737024,0.0087,0.016919578
1992-01-23,-0.7581407605512502,0.824931255728688,0.0181,0.016919578
1992-01-24,0.12531810566768306,-0.5909090909090864,0.0047,0.016919578
1992-01-27,-0.11794093266258553,0.9602194787379849,-0.0004,0.016919578
1992-01-28,-0.007228849062112377,-0.31702898550723163,-0.0129,0.016919578
1992-01-29,-1.1133591430986938,-0.1476601544752495,0.0137,0.016919578
1992-01-30,0.3119362022901692,0.5801387782959904,0.0086,0.016919578
1992-01-31,-0.6899557928423727,-0.011309658448320643,-0.0037,0.016919578
1992-02-03,0.18347277308937024,-0.5655468838366701,0.0055,0.016919578
1992-02-04,1.054869487106847,-0.5687635081333182,-0.0067,0.016919578
1992-02-05,-0.0024187507200428802,-0.526255577165077,-0.011000000000000001,0.016919578
1992-02-06,-0.004830127632228564,-0.20701552616447014,0.0013,0.016919578
1992-02-07,-0.6597097660384483,-1.0141754062463932,-0.0019,0.016919578
1992-02-10,0.6519236726938071,1.0944230993130724,0.0006,0.016919578
1992-02-11,-0.0024117263854984607,1.00195784866982,0.004,0.016919578
1992-02-12,0.8144805970978105,0.6043329532497161,0.008,0.016919578
1992-02-13,-0.8246836618717923,0.6687067890739988,0.0165,0.016919578
1992-02-14,-0.2924873683555935,-0.04503490204907909,-0.0009,0.016919578
1992-02-18,-1.2364250058168291,1.1376436134264531,0.0085,0.016919578
1992-02-19,0.2160157565907143,-0.18933066042989385,-0.0072,0.016919578
1992-02-20,1.3814686380867844,0.1004240124971984,-0.0012,0.016919578
1992-02-21,-0.5967627532751227,0.4681752313008602,0.0073,0.016919578
1992-02-24,0.2041649890118694,-0.17752135803838526,0.0031,0.016919578
1992-02-25,-0.44145270055055946,0.4223630098921812,-0.0048,0.016919578
1992-02-26,1.1938101734054751,-0.8854454897620335,0.0012,0.016919578
1992-02-27,-0.3587386489648956,-0.5136795086543761,-0.0153,0.016919578
1992-02-28,-0.2802815063166785,0.2581658996520257,-0.0105,0.016919578
1992-03-02,-0.060576688328276576,0.2127183161666054,0.0168,0.016919578
1992-03-03,0.09697999475388362,0.8825829516255077,0.005,0.016919578
1992-03-04,-0.8526144965103841,0.52048726467331,0.0009,0.016919578
1992-03-05,-0.6889250945594646,0.15423598105100866,0.0113,0.016919578
1992-03-06,-0.5092145209413244,-0.2749972500274997,-0.0043,0.016919578
1992-03-09,0.19038398679466173,-0.2647253474520129,-0.0086,0.016919578
1992-03-10,0.414605769184996,0.4534395045343913,0.0031,0.016919578
1992-03-11,-0.7028965800500101,-0.473411868325435,0.0093,0.016919578
1992-03-12,-0.03464693224426306,0.5199115044247774,0.0141,0.016919578
1992-03-13,0.4828000018767436,-0.0770331242434328,0.0104,0.016919578
1992-03-16,0.13552607072271414,-0.29735682819382825,-0.0003,0.016919578
1992-03-17,0.7849533409426931,-0.7842704075996995,-0.0094,0.016919578
1992-03-18,-0.10498388926410716,0.18926742373636352,-0.0007,0.016919578
1992-03-19,0.1588644774610439,2.578064229358826,-0.006,0.016919578
1992-03-20,0.3660322215529201,0.054165312533850235,0.0095,0.016919578
1992-03-23,-0.33794895223774474,-0.3897791251624073,-0.0039,0.016919578
1992-03-24,-0.2512744236415445,-0.17391304347825715,-0.0111,0.016919578
1992-03-25,-0.3326198354942725,-0.5226480836236976,0.0,0.016919578
1992-03-26,0.08343050873020735,0.4816112084063022,0.0007,0.016919578
1992-03-27,-1.0689906243192735,-1.1764705882352924,0.0,0.016919578
1992-03-30,-0.12391573729863692,0.18738977072310592,-0.0005,0.016919578
1992-03-31,0.17121637717121407,-0.01100231048520752,0.0017,0.016919578
1992-04-01,0.13376823734168125,0.5611795774647944,-0.011000000000000001,0.014817108999999997
1992-04-02,-0.9227446994280668,-0.4376846482109702,-0.0003,0.014817108999999997
1992-04-03,0.2621692883895093,-1.00010990218705,-0.0064,0.014817108999999997
1992-04-06,1.0061033795872012,-0.04440497335700715,0.0,0.014817108999999997
1992-04-07,-1.8565541739841085,-0.15548645046645998,-0.0037,0.014817108999999997
1992-04-08,-0.8943370391113772,0.17797552836484604,0.0056,0.014817108999999997
1992-04-09,1.5564043092522193,-0.7883633133466665,-0.0117,0.014817108999999997
1992-04-10,0.91104080055508,1.0744264129826615,0.0037,0.014817108999999997
1992-04-13,0.44274603877238505,0.6533052818071126,-0.0073,0.014817108999999997
1992-04-15,0.9432779307229412,0.3082681933281968,0.0088,0.014817108999999997
1992-04-16,-0.0576511003595045,0.4609812314784346,0.0049,0.014817108999999997
1992-04-20,-1.4085222270053297,-0.3059106303944075,0.0175,0.014817108999999997
1992-04-21,0.019507777406392902,0.21917808219178392,-0.0021,0.014817108999999997
1992-04-22,-0.10968946254352578,-0.3608529250956789,0.0003,0.014817108999999997
1992-04-23,0.4367897339586137,0.043898156277427616,-0.0005,0.014817108999999997
1992-04-24,-0.6268262785205105,-0.6472136902150104,-0.0046,0.014817108999999997
1992-04-27,-0.13935186918211825,-0.06624710168928792,0.0044,0.014817108999999997
1992-04-28,0.16157987039059735,0.05524251463926323,-0.0016,0.014817108999999997
1992-04-29,0.7113011431388102,0.18772084805653896,0.0057,0.014817108999999997
1992-04-30,0.7111361288833018,-0.4408685109666104,-0.0001,0.014817108999999997
1992-05-01,-0.5832059115592899,-0.5756669987822385,-0.0055,0.014817108999999997
1992-05-04,1.0617421789002992,0.3340385257766364,0.0019,0.014817108999999997
1992-05-05,-0.016792113244667985,-0.4660969925646451,-0.0042,0.014817108999999997
1992-05-07,-0.2255339570771693,0.5489580999327749,-0.0037,0.014817108999999997
1992-05-08,0.04808993558123869,0.26740947075208343,-0.0119,0.014817108999999997
1992-05-11,0.5864684702262251,-0.2889209912212367,-0.0024,0.014817108999999997
1992-05-12,-0.5256950112474565,-0.9918644823358972,-0.0042,0.014817108999999997
1992-05-13,0.03843546483000447,-0.799189554254849,-0.0033,0.014817108999999997
1992-05-14,-0.7948125596404136,0.0,0.0015,0.014817108999999997
1992-05-15,-0.7382531077266917,0.034040621808693,-0.0097,0.014817108999999997
1992-05-18,0.663269532671073,-0.8960980036297549,-0.0067,0.014817108999999997
1992-05-19,0.8623814871848162,-0.19457479684102288,-0.0084,0.014817108999999997
1992-05-20,-0.2353627811245169,0.5275229357798094,0.0121,0.014817108999999997
1992-05-21,-0.6716601023739094,0.62742413871777,0.0123,0.014817108999999997
1992-05-22,0.3441548665416166,0.05668291576920005,-0.0007,0.014817108999999997
1992-05-26,-0.6304007220289054,-0.27192386131884105,0.0164,0.014817108999999997
1992-05-27,0.18473274655712266,1.2497159736423638,-0.003,0.014817108999999997
1992-05-28,1.108760185326727,-0.6732495511669754,-0.009000000000000001,0.014817108999999997
