ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
40,1986/1/21,124.85,124.75,125.12,124.45,0.34K,0.0002,207.529999,207.779999,205.050003,205.78999299999998,205.78999299999998,"128,300,000",-0.008384358928272448
41,1986/1/22,125.0,125.1,125.25,124.1,0.57K,0.0012,205.78999299999998,206.029999,203.41000400000001,203.490005,203.490005,"131,200,000",-0.011176384072280837
42,1986/1/23,124.61,124.8,124.98,124.6,0.66K,-0.0031,203.490005,204.429993,202.600006,204.25,204.25,"130,300,000",0.0037348026012383436
43,1986/1/24,123.12,123.6,123.8,122.91,1.60K,-0.012,204.25,206.429993,204.25,206.429993,206.429993,"128,900,000",0.01067316034271724
44,1986/1/27,122.7,122.93,123.0,122.57,0.71K,-0.0034,206.429993,207.690002,206.429993,207.389999,207.389999,"122,900,000",0.004650516071082717
45,1986/1/28,122.41,122.48,122.89,122.3,0.30K,-0.0024,207.419998,209.82000699999998,207.399994,209.809998,209.809998,"145,700,000",0.01166883172606611
46,1986/1/29,122.23,122.08,122.35,121.95,0.27K,-0.0015,209.809998,212.36000099999998,209.809998,210.289993,210.289993,"193,800,000",0.0022877603764144853
47,1986/1/30,121.5,122.24,122.26,121.4,0.32K,-0.006,210.289993,211.539993,209.149994,209.330002,209.330002,"125,300,000",-0.004565081706003967
48,1986/1/31,121.91,121.9,122.3,121.7,0.74K,0.0034,209.330002,212.419998,209.190002,211.77999900000003,211.77999900000003,"143,500,000",0.011703993582343846
49,1986/2/3,122.35,122.1,122.75,122.05,0.43K,0.0036,211.77999900000003,214.17999300000002,211.600006,213.960007,213.960007,"145,300,000",0.01029373883413777
50,1986/2/4,123.08,123.4,123.55,122.81,0.60K,0.006,213.960007,214.57000699999998,210.82000699999998,212.789993,212.789993,"175,700,000",-0.005468377087873158
51,1986/2/5,121.75,122.8,122.8,121.61,1.11K,-0.0108,212.83999599999999,213.02999900000003,211.210007,212.960007,212.960007,"134,300,000",0.0007989755420499523
52,1986/2/6,122.2,121.61,122.6,121.32,0.76K,0.0037,212.960007,214.50999500000003,212.600006,213.47000099999997,213.47000099999997,"146,100,000",0.0023947876748519155
53,1986/2/7,122.12,122.08,122.75,121.95,0.37K,-0.0007,213.47000099999997,215.270004,211.13000499999998,214.559998,214.559998,"144,400,000",0.0051060898247713956
54,1986/2/10,120.81,121.29,121.36,120.62,0.73K,-0.0107,214.559998,216.24000499999997,214.47000099999997,216.24000499999997,216.24000499999997,"129,900,000",0.007830010326528624
55,1986/2/11,120.68,120.75,120.95,120.41,0.53K,-0.0011,216.24000499999997,216.669998,215.539993,215.919998,215.919998,"141,300,000",-0.0014798695551268394
56,1986/2/12,120.2,119.97,120.54,119.94,0.70K,-0.004,215.919998,216.27999900000003,215.13000499999998,215.97000099999997,215.97000099999997,"136,400,000",0.0002315811433083441
57,1986/2/13,119.33,120.3,120.5,119.15,0.55K,-0.0072,215.97000099999997,217.41000400000001,215.38000499999998,217.399994,217.399994,"136,500,000",0.00662125755141347
58,1986/2/14,118.82,119.55,119.6,118.78,0.36K,-0.0043,217.399994,219.75999500000003,217.22000099999997,219.75999500000003,219.75999500000003,"155,600,000",0.010855570676786861
59,1986/2/18,118.11,119.2,119.25,118.05,0.66K,-0.006,219.75999500000003,222.44999700000002,219.25999500000003,222.44999700000002,222.44999700000002,"160,200,000",0.012240635516941982
